kaart;type;straat;huisnummer;huisnummerletter;huisnummertoevoeging;postcode;plaats;stadsdeel;www;email;telefoonnummer;fax;openingstijden;bijzonderheden;;
Atalmedial medisch diagnostisch centrum;adres;POSTBUS;69641;;;1060CR;AMSTERDAM;;https://www.atalmedial.nl/;;088 003 7777;;er zijn verschillende locaties in amsterdam. zie hiervoor de website.;"activiteiten: artsenlaboratorium, trombosedienst, diabetesdienst, biometrisch onderzoek.<br /> <br /> atal heeft verschillende locaties in amsterdam waar het pati&euml;ntenmateriaal ten behoeve van";;
Welzijnsstichting Anand Joti;adres;Mijehof;7;A;;1106HC;Amsterdam;Zuidoost;http://www.anandjoti.nl;website@anandjoti.nl;06 2931 1035;;;anand joti is een welzijnsstichting van surinamers in amsterdam zuidoost die zich inzet voor de surinamers van amsterdam zuidoost in het bijzonder maar ook van de amsterdammers in het a;;
BuurtHuis Anansi;adres;Daalwijkdreef;11;;;1102RN;Amsterdam;Zuidoost;http://www.buurthuizenzuidoost.nl/;info@pbazo.nl;020 303 0910;;;in anansi zijn er activiteiten voor jeugd, jongeren en volwassenen.;;
Huis van de wijk Het Anker;adres;Jacques Veltmanstraat;427;;;1065DC;Amsterdam;Nieuw West;http://www.huisvandewijknieuwwest.nl/;huisvandewijk@combiwel.nl;020 617 2721;;;;;
Anonieme Overeters (AO);postadres;Postbus;61025;;;1005HA;Amsterdam;;http://www.anonieme-overeters.nl;info@anonieme-overeters.nl;020 627 4820;;op de website staat een actueel overzicht van bijeenkomsten.;anonieme overeters is een zelfhulpgroep van mannen en vrouwen die door het delen van ervaring, kracht en hoop van hun gemeenschappelijk probleem, dwangmatig (over)eten, herstellen.;;
Mediq Apotheek Ansingh;adres;Bos en Lommerweg;151;;;1055DR;Amsterdam;West;https://ansingh.mediq-apotheek.nl;ansingh@mediq-apotheek.nl;020 682 1621;020 682 4973;;;;
AOC Tandartsenpraktijk;adres;WG-plein;167;;;1054SC;Amsterdam;West;http://www.tandartsenpraktijk-aoc.nl;tandartsen-aoc@netaffairs.nl;020 616 1234;;;;;
Associatie van Portugezen in Amsterdam (APA);adres;Willem Schoutenstraat;1;;hs;1057DL;Amsterdam;West;;apa1984@xs4all.nl;020 683 1465;;;belangenorganisatie van in nederland wonende portugezen.;;
Tandartsenpraktijk Chin;adres;Apollolaan;175;;;1077AS;Amsterdam;Zuid;;;020 676 8404;;;praktijk van dhr. d.p. chin.;;
Stichting Wa Lai (Chinees Centrum);adres;Karel du Jardinstraat;70;;;1073TD;Amsterdam;Zuid;http://www.walai.nl;chineescentrumwalai@gmail.com;020 671 6697;020 671 6697;;chinees centrum wa lai is een sociaal en cultureel ontmoetingscentrum voor chinezen en alle andere inwoners in amsterdam.    chinees centrum wa lai maakt chinezen in amsterdam wegwijs in de neder;;
Woonvoorziening Varikstraat;adres;Varikstraat;1;;;1106CT;Amsterdam;Zuidoost;http://www.hvoquerido.nl;;020 691 7271;;;"de varikstraat biedt begeleiding en zorg aan cli&euml;nten met een drugverslaving in combinatie met&nbsp;psychiatrische problematiek.";;
Medisch Diagnostisch Centrum Amstelland;adres;Kraaiennest;72;;;1104CE;Amsterdam;Zuidoost;http://www.mdc-amstelland.nl;contact@mdca.nl;020 755 7150;;;het artsenlaboratorium voor amstelland heeft twee servicepunten/priklocaties in amsterdam zuidoost. o.a. onderzoek op het gebied van de klinische chemie, hematologie, immunologie, allergologie en b;;
Medisch Diagnostisch Centrum Amstelland;adres;Lopikhof;1;;;1108GH;Amsterdam;Zuidoost;http://www.mdc-amstelland.nl;contact@mdca.nl;020 755 7150;;;het artsenlaboratorium voor amstelland heeft twee servicepunten/priklocaties in amsterdam zuidoost. o.a. onderzoek op het gebied van de klinische chemie, hematologie, immunologie, allergologie en b;;
Ontmoetingsruimte voor ouderen Het Baken;adres;Avenhornstraat;18;;hs;1023TS;Amsterdam;Noord;http://www.stichting-het-baken.nl;;020 637 2714;;;het baken is een ontmoetingsplek voor alle ouderen (vanaf 55 jaar) in tuindorp nieuwendam.;;
Stichting Opvangcentra De Elandsstraat;adres;Elandsstraat;84;;;1016SG;Amsterdam;Centrum;http://www.elandsstraat.nl;info@elandsstraat.nl;020 623 4757;;;de elandsstraat biedt weekendopvang aan mannen/vrouwen/gezinnen zonder leeftijdsgrenzen. de verblijfsduur is maximaal drie dagen.    daarnaast is er een slaapcentrum voor jongeren van 15 tot 2;;
Gezondheidscentrum Banne Buiksloot;adres;Parlevinker;7;;;1034PX;Amsterdam;Noord;http://www.gzc-bannebuiksloot.nl;info-bannebuiksloot@sag-amsterdam.nl;020 631 9157;;;"een gezondheidscentrum biedt ge&iuml;ntegreerde eerstelijnszorg; verschillende zorgaanbieders zijn in &eacute;&eacute;n gebouw gevestigd en werken samen.";;
Tandartsengroepspraktijk Banne Buiksloot;adres;Parlevinker;7;;;1034PX;Amsterdam;Noord;http://www.gzc-bannebuiksloot.nl/zorgverleners/tandartsen;;020 633 2601;;;tandartsen:             dhr. r. van ewijk             mevr. e.i. veldkamp-posthuma             dhr. n.j.w. zijlstra;;
Instituut Fysiotherapie De Baarsjes;adres;Mercatorplein;119;;-121;1057CA;Amsterdam;West;http://www.fysiodebaarsjes.nl;info@fysiodebaarsjes.nl;020 612 3394;;;naast fysiotherapie kunt u ook terecht voor manuele therapie, sportfysiotherapie, kinderfysiotherapie, bekkenfysiotherapie en oefentherapie mensendieck.       instituut fysiotherapie de baarsj;;
Instituut Fysiotherapie De Baarsjes;adres;Willem de Zwijgerlaan;53;;;1056JE;Amsterdam;West;http://www.fysiodebaarsjes.nl;info@fysiodebaarsjes.nl;020 689 2432;;;naast fysiotherapie kunt u ook terecht voor manuele therapie, sportfysiotherapie, kinderfysiotherapie, bekkenfysiotherapie en oefentherapie mensendieck.       instituut fysiotherapie de baarsj;;
Instituut Fysiotherapie De Baarsjes;adres;Surinameplein;40;;-46;1058GS;Amsterdam;West;http://www.fysiodebaarsjes.nl;info@fysiodebaarsjes.nl;020 612 0899;;;naast fysiotherapie kunt u ook terecht voor manuele therapie, sportfysiotherapie, kinderfysiotherapie, bekkenfysiotherapie en oefentherapie mensendieck.       instituut fysiotherapie de baarsj;;
Boots apotheek Beethoven;adres;Stadionweg;168;;;1077TB;Amsterdam;Zuid;http://nl.boots.com/stores/boots-apotheek-beethoven;apotheek.beethoven@nl.boots.com;020 679 0777;020 676 3347;;;;
Belangenvereniging Druggebruikers MDHG;adres;"Jonas Dani&#235;l Meijerplein";30;;;1011RH;Amsterdam;Centrum;http://www.mdhg.nl;info@mdhg.nl;020 624 4775;020 638 2840;;de mdhg doet aan belangenbehartiging,geeft voorlichting, signaleert trends en ontwikkelingen, doet onderzoek en geeft advies en praktische hulp.;;
Stichting Belastingwinkel Amsterdam;adres;Oudemanhuispoort;2;;-3;1012CN;Amsterdam;Centrum;http://www.belastingwinkelamsterdam.nl;;020 624 7003;;;de stichting belastingwinkel amsterdam is een vrijwilligersorganisatie die mensen met een laag inkomen helpt met het oplossen van problemen met belastingen en toeslagen.;;
België, huis van de wijk Sloten en Nieuw-Sloten;adres;Hageland;117;;-119;1066SB;Amsterdam;Nieuw West;http://www.impuls.nl;belgie@impuls.nl;020 617 8235;;;;;
Zuidweg, schuldhulpverlening voor ondernemers;adres;De Ruijterkade;5;;;1013AA;Amsterdam;Centrum;http://www.zuidweg-partners.nl;hilversum@zuidweg-partners.nl;035 538 5350;;;zuidweg & partners biedt schuldsanering voor ondernemers.;;
Zuidweg, schuldhulpverlening voor ondernemers;postadres;Postbus;2165;;;1200CD;Amsterdam;;http://www.zuidweg-partners.nl;hilversum@zuidweg-partners.nl;035 538 5350;;;zuidweg & partners biedt schuldsanering voor ondernemers.;;
Mensendieckpraktijk Therapeutisch Collectief Watergraafsmeer;adres;Middenweg;335;;;1098VC;Amsterdam;Oost;http://www.therapiepraktijkamsterdam.nl;info@therapiepraktijkamsterdam.nl;020 694 0446;;;lichaamsgerichte psychotherapie    haptonomie    oefentherapie mensendieck;;
Beth Shalom, Joods zorgcentrum en verpleeghuis;adres;Kastelenstraat;80;;;1083DE;Amsterdam;Zuid;http://www.bethshalom.nl;;020 661 1516;;;"beth shalom is een joods&nbsp;zorgcentrum voor ouderen met ruimte en respect voor de joodse leefwijze. het zorgcentrum&nbsp;biedt&nbsp;bewoners&nbsp;naast gerichte zorg&nbsp;ook maxiamale&nbsp;zelf";;
Beukenplein, fysiotherapiepraktijk;adres;Beukenplein;11;;- 13 hs;1092BA;Amsterdam;Oost;http://www.fysiotherapiebeukenplein.nl/;info@fysiotherapiebeukenplein.nl;020 668 1072;;;;;
Kring-Apotheek Bijlmer;adres;Annie Romeinplein;34;;;1103JL;Amsterdam;Zuidoost;http://www.bijlmerapotheek.nl;info@bijlmerapotheek.nl;020 690 2833;020 695 3705;;;;
Vereniging Bijstandsbond Amsterdam;adres;Da Costakade;162;;;1053XD;Amsterdam;West;http://www.bijstandsbond.org;info@bijstandsbond.org;020 689 8806;;;de vereniging bijstandsbond amsterdam behartigt de belangen van mensen met een uitkering en van werkenden met een minimaal inkomen.;;
Apotheek Bilderdijk;adres;Bilderdijkstraat;142;;-148;1053LB;Amsterdam;West;http://www.bilderdijkapotheek.nl;bilderdijk@mediq-apotheek.nl;020 618 2993;020 618 3376;;;;
Senioren Biljart Osdorp;adres;Sloterweg;1345;;;1066CM;Amsterdam;Nieuw West;http://www.seniorenbiljartosdorp.com;biljartendart@hotmail.com;020 615 3821;;;senioren biljart osdorp (sbo) komt samen in de halve maen. voor mannen en vrouwen van 50 jaar en ouder.;;
Vereniging De Binnenpret;adres;Eerste Schinkelstraat;14;;-16;1075TX;Amsterdam;Zuid;https://binnenpr.home.xs4all.nl/;binnenpret@binnenpret.org;;;;de binnenpret heeft een politiek-culturele functie en beschikt over een binnenplaats met een restaurant, een koffietent, een sauna en een zaal voor concerten en andere activiteiten.;;
Centram;adres;Kloveniersburgwal;43;;;1011JW;Amsterdam;Centrum;http://www.centram.nl;info@centram.nl;020 557 3333;020 557 3339;;centram is de instelling voor maatschappelijke dienstverlening in amsterdam west en centrum.;;
Speel-o-theek Zeeburg;adres;Kramatplantsoen;101;;;1095LB;Amsterdam;Oost;http://www.speelotheek.net;speelotheekzeeburg@gmail.com;06 3095 4351;;;;;
Logopediepraktijk Watergraafsmeer / Duivendrecht;adres;IJburglaan;903;;;1087EN;Amsterdam;Oost;http://www.amsterdamlogopedie.nl;info@logopedie-watergraafsmeer.nl;020 692 2513;;;;;
Logopediepraktijk Watergraafsmeer / Duivendrecht;adres;Oostelijke Handelskade;12;N;;1019BM;Amsterdam;Oost;http://www.amsterdamlogopedie.nl;info@logopedie-watergraafsmeer.nl;020 692 2513;;;;;
Logopediepraktijk Watergraafsmeer / Duivendrecht;adres;Marconistraat;7;;;1098TE;Amsterdam;Oost;http://www.amsterdamlogopedie.nl;info@logopedie-watergraafsmeer.nl;020 692 2513;;;;;
Woonzorgcentrum De Boeg;adres;Hoofdweg;495;;;1055SC;Amsterdam;West;http://www.cordaan.nl;;020 686 0590;;;de boeg is een woonzorgcentrum voor ouderen in bos en lommer waar ouderen zelfstandig in een eigen appartement kunnen wonen met zorg en hulp waar dat nodig is.;;
BuurtHuis De Bonte Kraai;adres;Kraaiennest;68;;;1104CD;Amsterdam;Zuidoost;http://www.buurthuizenzuidoost.nl;info@pbazo.nl;020 303 0920;;;in de bonte kraai zijn er activiteiten voor jeugd, jongeren en volwassenen.;;
Woon- en Zorgcentrum Torendael;adres;Veluwelaan;21;;;1079PX;Amsterdam;Zuid;http://www.puurzuid.nl;info@puurzuid.nl;020 546 1600;;;"puurzuid biedt in torendael wonen in een beschermde omgeving, passende zorg, ondersteuning bij huishoudelijke taken en andere dagelijkse activiteiten. ook worden er&nbsp;diverse activiteiten en ont";;
Fysioplus;adres;Bonnefantenstraat;8;;;1064PN;Amsterdam;Nieuw West;http://www.fysioplus.nl;wolkenkrabber@fysioplus.nl;020 679 4497;;;<ul>        <li>fysiotherapie </li>        <li>manueel therapie </li>        <li>sportfysiotherapie </li>        <li>bekkenbodem- en incontinentietraining </li>        <li>bekkeninstabilit;;
Fysioplus;adres;De Mirandalaan;9;;;1079PA;Amsterdam;Zuid;http://www.fysioplus.nl;wolkenkrabber@fysioplus.nl;020 679 4497;;;<ul>        <li>fysiotherapie </li>        <li>manueel therapie </li>        <li>sportfysiotherapie </li>        <li>bekkenbodem- en incontinentietraining </li>        <li>bekkeninstabilit;;
Fysioplus;adres;Deltastraat;2;;;1078PC;Amsterdam;Zuid;http://www.fysioplus.nl;wolkenkrabber@fysioplus.nl;020 679 4497;;;<ul>        <li>fysiotherapie </li>        <li>manueel therapie </li>        <li>sportfysiotherapie </li>        <li>bekkenbodem- en incontinentietraining </li>        <li>bekkeninstabilit;;
Huis van de Buurt De Boomsspijker;adres;Recht Boomssloot;52;;;1011EC;Amsterdam;Centrum;http://www.ijsterk.nl;boomsspijker@ijsterk.nl;020 626 4002;;;verschillende cursussen en culturele activiteiten.;;
De Borcht;adres;Jacob Obrechtstraat;74;;;1071KP;Amsterdam;Zuid;http://www.deborcht.nl;info@deborcht.nl;020 662 7807;;;club de borcht organiseert huiswerkbegeleiding en activiteiten voor meisjes van 8-18 jaar.;;
Tandartsenpraktijk Van der Borden;adres;Van Nijenrodeweg;908;;;1081BJ;Amsterdam;Zuid;http://www.tandartsvanderborden.nl;;020 642 8606;;;;;
Tandartsengroepspraktijk Borgerstraat;adres;Borgerstraat;52;c;;1053PV;Amsterdam;West;https://borgerstraat.praktijkinfo.nl;;020 616 3035;020 618 5699;;;;
Medsen Apotheek Bos en Lommer;adres;Bos en Lommerplein;73;A;;1055AD;Amsterdam;West;http://www.apotheekbosenlommer.nl;assistenten.bosenlommer@medsenapotheek.nl;020 684 6461;020 682 4859;;;;
Logopediepraktijk Bos en Lommer;adres;De Rijpgracht;26;;hs;1055VS;Amsterdam;West;http://www.logopediebosenlommer.nl;logopediebosenlommer@online.nl;020 688 1380;;;algemene spraak/taalproblemen    stotteren    spraakafzien/liplezen voor slechthorenden en dove mensen    ci-training bij mensen met een cochleair implantaat    ademproblemen en;;
Reumafonds;adres;Dr. Jan van Breemenstraat;4;;;1056AB;Amsterdam;West;http://www.reumafonds.nl;info@reumafonds.nl;020 589 6464;020 589 6444;;"het reumafonds is fondsenwerver voor de reumabestrijding in nederland.                    activiteiten:      <ol type=1"">        <li>fondsenwerving </li>        <li>financieren wetensch""";;
Reumafonds;postadres;Postbus;59091;;;1040KB;Amsterdam;;http://www.reumafonds.nl;info@reumafonds.nl;020 589 6464;020 589 6444;;"het reumafonds is fondsenwerver voor de reumabestrijding in nederland.                    activiteiten:      <ol type=1"">        <li>fondsenwerving </li>        <li>financieren wetensch""";;
BovenIJ ziekenhuis;postadres;Postbus;37610;;;1030BD;Amsterdam;;http://www.bovenij.nl;;020 634 6346;;;;;
BovenIJ ziekenhuis;adres;Statenjachtstraat;1;;;1034CS;Amsterdam;Noord;http://www.bovenij.nl;;020 634 6346;;;;;
